Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 5:48:02,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 5:45:57,1.20,1.12,4.00,0.30,0.30,26.30
오후 5:45:58,1.20,1.12,4.00,0.30,0.30,25.97
오후 5:45:59,1.20,1.12,4.00,0.30,0.30,25.69
오후 5:46:00,1.20,1.12,4.00,0.30,0.30,25.55
오후 5:46:01,1.20,1.12,4.00,0.30,0.30,25.58
오후 5:46:02,1.20,1.13,4.00,0.30,0.30,25.53
오후 5:46:03,1.20,1.13,4.00,0.30,0.30,25.23
오후 5:46:04,1.20,1.13,4.00,0.30,0.30,25.49
오후 5:46:05,1.20,1.13,4.00,0.30,0.30,24.68
오후 5:46:06,1.20,1.13,4.00,0.30,0.30,24.99
오후 5:46:07,1.20,1.13,4.00,0.30,0.30,24.67
오후 5:46:08,1.20,1.13,4.00,0.30,0.30,24.60
오후 5:46:09,1.20,1.13,4.00,0.30,0.30,24.70
오후 5:46:10,1.20,1.13,4.00,0.30,0.30,24.36
오후 5:46:11,1.20,1.13,4.00,0.30,0.30,24.22
오후 5:46:12,1.20,1.13,4.00,0.30,0.30,24.19
오후 5:46:13,1.20,1.13,4.00,0.30,0.30,23.94
오후 5:46:14,1.20,1.14,4.00,0.30,0.30,23.99
오후 5:46:15,1.20,1.13,4.00,0.30,0.30,23.68
오후 5:46:16,1.20,1.14,4.00,0.30,0.30,23.74
오후 5:46:17,1.20,1.14,4.00,0.30,0.30,23.44
오후 5:46:18,1.20,1.14,4.00,0.30,0.30,23.63
오후 5:46:19,1.20,1.14,4.00,0.30,0.30,23.20
오후 5:46:20,1.20,1.14,4.00,0.30,0.30,23.16
오후 5:46:21,1.20,1.14,4.00,0.30,0.30,23.31
오후 5:46:22,1.20,1.14,4.00,0.30,0.30,22.91
오후 5:46:23,1.20,1.14,4.00,0.30,0.30,23.25
오후 5:46:24,1.20,1.14,4.00,0.30,0.30,22.78
오후 5:46:25,1.20,1.14,4.00,0.30,0.30,22.81
오후 5:46:26,1.20,1.14,4.00,0.30,0.30,22.69
오후 5:46:27,1.20,1.14,4.00,0.30,0.30,22.42
오후 5:46:28,1.20,1.14,4.00,0.30,0.30,22.34
오후 5:46:29,1.20,1.14,4.00,0.30,0.30,22.31
오후 5:46:30,1.20,1.15,4.00,0.30,0.30,22.54
