Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 4:46:34,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 4:44:30,1.20,1.13,4.00,0.30,0.30,25.86
오후 4:44:31,1.20,1.13,4.00,0.30,0.30,25.78
오후 4:44:32,1.20,1.13,4.00,0.30,0.30,25.63
오후 4:44:33,1.20,1.13,4.00,0.30,0.30,25.51
오후 4:44:34,1.20,1.13,4.00,0.30,0.30,25.34
오후 4:44:35,1.20,1.13,4.00,0.30,0.30,25.19
오후 4:44:36,1.20,1.13,4.00,0.30,0.30,25.16
오후 4:44:37,1.20,1.13,4.00,0.30,0.30,24.96
오후 4:44:38,1.20,1.13,4.00,0.30,0.30,24.90
오후 4:44:39,1.20,1.13,4.00,0.30,0.30,24.74
오후 4:44:40,1.20,1.13,4.00,0.30,0.30,24.57
오후 4:44:41,1.20,1.14,4.00,0.30,0.30,24.50
오후 4:44:42,1.20,1.14,4.00,0.30,0.30,24.41
오후 4:44:43,1.20,1.14,4.00,0.30,0.30,24.34
오후 4:44:44,1.20,1.14,4.00,0.30,0.30,24.16
오후 4:44:45,1.20,1.14,4.00,0.30,0.30,24.07
오후 4:44:46,1.20,1.14,4.00,0.30,0.30,23.95
오후 4:44:47,1.20,1.14,4.00,0.30,0.30,23.85
오후 4:44:48,1.20,1.14,4.00,0.30,0.30,23.71
오후 4:44:49,1.20,1.14,4.00,0.30,0.30,23.69
오후 4:44:50,1.20,1.14,4.00,0.30,0.30,23.50
오후 4:44:51,1.20,1.14,4.00,0.30,0.30,23.44
오후 4:44:52,1.20,1.14,4.00,0.30,0.30,23.30
오후 4:44:53,1.20,1.14,4.00,0.30,0.30,23.26
오후 4:44:54,1.20,1.14,4.00,0.30,0.30,23.12
오후 4:44:55,1.20,1.15,4.00,0.30,0.30,23.06
오후 4:44:56,1.20,1.15,4.00,0.30,0.30,22.97
오후 4:44:57,1.20,1.15,4.00,0.30,0.30,22.82
오후 4:44:58,1.20,1.15,4.00,0.30,0.30,22.69
오후 4:44:59,1.20,1.15,4.00,0.30,0.30,22.63
오후 4:45:00,1.20,1.15,4.00,0.30,0.30,22.52
오후 4:45:01,1.20,1.15,4.00,0.30,0.30,22.48
오후 4:45:02,1.20,1.15,4.00,0.30,0.30,22.45
오후 4:45:03,1.20,1.15,4.00,0.30,0.30,22.28
오후 4:45:04,1.20,1.15,4.00,0.30,0.30,22.24
오후 4:45:05,1.20,1.15,4.00,0.30,0.30,22.15
오후 4:45:06,1.20,1.15,4.00,0.30,0.30,22.07
오후 4:45:07,1.20,1.15,4.00,0.30,0.30,21.94
오후 4:45:08,1.20,1.15,4.00,0.30,0.30,21.94
오후 4:45:09,1.20,1.15,4.00,0.30,0.30,21.76
오후 4:45:10,1.20,1.15,4.00,0.30,0.30,21.73
오후 4:45:11,1.20,1.16,4.00,0.30,0.30,21.68
오후 4:45:12,1.20,1.15,4.00,0.30,0.30,21.55
오후 4:45:13,1.20,1.16,4.00,0.30,0.30,21.54
오후 4:45:14,1.20,1.16,4.00,0.30,0.30,21.40
오후 4:45:15,1.20,1.16,4.00,0.30,0.30,21.35
오후 4:45:16,1.20,1.16,4.00,0.30,0.30,21.28
오후 4:45:17,1.20,1.16,4.00,0.30,0.30,21.16
오후 4:45:18,1.20,1.16,4.00,0.30,0.30,21.09
오후 4:45:19,1.20,1.16,4.00,0.30,0.30,21.03
오후 4:45:20,1.20,1.16,4.00,0.30,0.30,21.02
오후 4:45:21,1.20,1.16,4.00,0.30,0.30,20.98
오후 4:45:22,1.20,1.16,4.00,0.30,0.30,20.89
오후 4:45:23,1.20,1.16,4.00,0.30,0.30,20.78
오후 4:45:24,1.20,1.16,4.00,0.30,0.30,20.71
오후 4:45:25,1.20,1.16,4.00,0.30,0.30,20.70
오후 4:45:26,1.20,1.16,4.00,0.30,0.30,20.58
오후 4:45:27,1.20,1.16,4.00,0.30,0.30,20.59
오후 4:45:28,1.20,1.17,4.00,0.30,0.30,20.60
오후 4:45:29,1.20,1.16,4.00,0.30,0.30,20.45
오후 4:45:30,1.20,1.17,4.00,0.30,0.30,20.42
오후 4:45:31,1.20,1.17,4.00,0.30,0.30,20.39
오후 4:45:32,1.20,1.17,4.00,0.30,0.30,20.26
오후 4:45:33,1.20,1.17,4.00,0.30,0.30,20.20
오후 4:45:34,1.20,1.17,4.00,0.30,0.30,20.13
오후 4:45:35,1.20,1.17,4.00,0.30,0.30,20.14
오후 4:45:36,1.20,1.17,4.00,0.30,0.30,20.17
오후 4:45:37,1.20,1.17,4.00,0.30,0.30,20.13
오후 4:45:38,1.20,1.17,4.00,0.30,0.30,20.07
오후 4:45:39,1.20,1.17,4.00,0.30,0.30,19.97
오후 4:45:40,1.20,1.17,4.00,0.30,0.30,19.89
오후 4:45:41,1.20,1.17,4.00,0.30,0.30,19.81
오후 4:45:42,1.20,1.17,4.00,0.30,0.30,19.73
오후 4:45:43,1.20,1.17,4.00,0.30,0.30,19.74
오후 4:45:44,1.20,1.17,4.00,0.30,0.30,19.67
오후 4:45:45,1.20,1.17,4.00,0.30,0.30,19.71
오후 4:45:46,1.20,1.17,4.00,0.30,0.30,19.66
오후 4:45:47,1.20,1.18,4.00,0.30,0.30,19.66
오후 4:45:48,1.20,1.18,4.00,0.30,0.30,19.68
오후 4:45:49,1.20,1.18,4.00,0.30,0.30,19.65
오후 4:45:50,1.20,1.18,4.00,0.30,0.30,19.57
오후 4:45:51,1.20,1.18,4.00,0.30,0.30,19.56
오후 4:45:52,1.20,1.18,4.00,0.30,0.30,19.44
오후 4:45:53,1.20,1.18,4.00,0.30,0.30,19.41
오후 4:45:54,1.20,1.18,4.00,0.30,0.30,19.38
오후 4:45:55,1.20,1.18,4.00,0.30,0.30,19.31
오후 4:45:56,1.20,1.18,4.00,0.30,0.30,19.29
오후 4:45:57,1.20,1.18,4.00,0.30,0.30,19.26
오후 4:45:58,1.20,1.18,4.00,0.30,0.30,19.19
오후 4:45:59,1.20,1.18,4.00,0.30,0.30,19.18
오후 4:46:00,1.20,1.18,4.00,0.30,0.30,19.26
오후 4:46:01,1.20,1.18,4.00,0.30,0.30,19.19
오후 4:46:02,1.20,1.18,4.00,0.30,0.30,19.12
오후 4:46:03,1.20,1.18,4.00,0.30,0.30,19.18
오후 4:46:04,1.20,1.18,4.00,0.30,0.30,19.07
오후 4:46:05,1.20,1.18,4.00,0.30,0.30,19.02
오후 4:46:06,1.20,1.18,4.00,0.30,0.30,18.99
오후 4:46:07,1.20,1.18,4.00,0.30,0.30,18.96
오후 4:46:08,1.20,1.18,4.00,0.30,0.30,18.90
오후 4:46:09,1.20,1.18,4.00,0.30,0.30,18.91
오후 4:46:10,1.20,1.18,4.00,0.30,0.30,18.85
